method,episode,task,aligned_targets,mse,mae,arm_mse,gripper_mse,gripper_sign_accuracy
frozen_act,64,3,7950,0.20433564112008262,0.22363032250822126,0.07508089332710943,0.9798641278779218,0.6711949685534592
frozen_act,71,9,11350,0.1495412519136158,0.17071447470988943,0.043233371116931,0.7873885366937246,0.760352422907489
frozen_act,73,0,7850,0.2087990629279974,0.21796350332500083,0.05055101596136478,1.1582873447277928,0.6351592356687898
frozen_act,77,7,12750,0.18235184638082358,0.21577770428075285,0.0615736195921687,0.9070212071127528,0.7170196078431372
frozen_act,80,4,9350,0.21736505727196986,0.23373251063773562,0.06269890115817488,1.1453619939547397,0.6216042780748663
frozen_act,97,8,9050,0.13980267747368316,0.17865859470768092,0.04230795762841998,0.7247709965452623,0.7607734806629834
frozen_act,99,6,8350,0.13657386230485508,0.1833435649675597,0.048102175923504,0.6674039805929617,0.7645508982035928
frozen_act,105,5,8850,0.14465282562659504,0.1949700988480012,0.047253715249240776,0.7290474878907208,0.7493785310734463
frozen_act,108,1,11050,0.18990636423458981,0.20641742451356723,0.051078012356933586,1.0228764755005268,0.6782805429864254
frozen_act,112,2,11350,0.22516454320092033,0.2369401210974263,0.06933020079346827,1.160170597645633,0.6588546255506608
frozen_act,154,7,9950,0.13786741298441843,0.1725263388968161,0.04366862166366091,0.7030601609089633,0.7683417085427136
frozen_act,165,9,10050,0.16395082179896292,0.1877642182846949,0.04912332843004067,0.8529157820124962,0.7400995024875622
frozen_act,166,3,7950,0.2139321315865954,0.22548602280473384,0.06496829365129132,1.1077151591984196,0.6415094339622641
frozen_act,180,6,8950,0.15272872580608643,0.19140012063028244,0.04769806290082528,0.7829127032376533,0.7540782122905028
frozen_act,186,5,9150,0.1451459600855359,0.18461795209323828,0.044688552875015254,0.7478904033486596,0.747103825136612
frozen_act,188,1,10750,0.16777649603926145,0.1902553408383384,0.04302168312348675,0.9163053735339097,0.6914418604651162
frozen_act,204,4,12650,0.18019512114177777,0.2096616205760063,0.05841376970404057,0.9108832297682011,0.7079841897233201
frozen_act,208,2,8350,0.17080954106611201,0.20198874533718564,0.05492665730333153,0.8661068436427952,0.7408383233532934
frozen_act,239,0,7650,0.17040743240147796,0.21283060536733228,0.06570648063471998,0.7986131430020257,0.7482352941176471
frozen_act,261,9,11850,0.16319519800824636,0.17996745584783835,0.04701165037938221,0.8602964837814312,0.7347679324894515
frozen_act,263,8,8350,0.17416387121437168,0.21603492787835796,0.056856785306977096,0.8780063866587391,0.717125748502994
frozen_act,264,6,16650,0.2577810638548236,0.2541821045542937,0.0716006237368328,1.3748637045627679,0.5917717717717718
frozen_act,272,2,7050,0.1720705281105684,0.19085837305715947,0.04103436980028579,0.958287477972264,0.7058156028368794
frozen_act,275,1,10050,0.19388032133259003,0.211272940998633,0.05858672141855794,1.0056419208167828,0.6764179104477612
frozen_act,278,5,8150,0.12215969100291488,0.1670522720650939,0.03876311858186521,0.6225391255292129,0.7737423312883436
frozen_act,281,7,10350,0.10605220984556672,0.15454180752622876,0.04628766775375212,0.4646394623964545,0.847536231884058
frozen_act,282,3,8650,0.16748454907795837,0.19203639955367238,0.04363985045152589,0.9105527408365531,0.7098265895953757
frozen_act,315,0,7050,0.13578805396861648,0.1805539173551098,0.05151534718182259,0.6414242946893799,0.780709219858156
frozen_act,336,4,13950,0.23102466088222517,0.23841069432471604,0.06499030245706434,1.22723081143319,0.62
frozen_act,349,1,9250,0.1899273373850351,0.20614403616453783,0.06159985821519041,0.9598922124041032,0.684972972972973
frozen_act,361,9,9950,0.17869250979032394,0.19832433977711136,0.05026396541773902,0.9492637760258336,0.7184924623115578
frozen_act,363,6,7350,0.14518698992409154,0.18853837321289074,0.04569847941536412,0.7421180529764558,0.7466666666666667
frozen_act,370,0,15150,0.2775916065190902,0.2595876082295493,0.07309191185154348,1.50458977452437,0.5664686468646865
frozen_act,372,5,11150,0.20062820893306826,0.2255861286891157,0.056332033148874916,1.0664052636382284,0.6560538116591929
frozen_act,373,8,12550,0.21554231524388637,0.23186593557933177,0.0596284433674243,1.1510255465026586,0.6313147410358566
frozen_act,378,7,11250,0.11675640952206272,0.15717274438279297,0.035549189161140846,0.6039997316875939,0.8120888888888889
frozen_act,395,2,8950,0.16541040640394103,0.19235731430505498,0.046297756664454036,0.8800863048408631,0.724804469273743
frozen_act,418,4,10150,0.20513173225015505,0.2229149697281297,0.06032916401554165,1.0739471416578354,0.6617733990147783
frozen_act,419,3,12750,0.17904639523684768,0.2039400195111299,0.05436966863103908,0.927106754871699,0.715843137254902
frozen_act,446,8,7050,0.18550181295477203,0.23063083012734106,0.06243317353943505,0.9239136494467937,0.6862411347517731
frozen_act,452,9,10350,0.1510540069776066,0.1815387390174585,0.04456494407797488,0.7899883843753971,0.7523671497584541
clip,64,3,7950,0.20381326565283975,0.22301498460214897,0.07508089332710943,0.9762074996072212,0.6711949685534592
clip,71,9,11350,0.1482177680055472,0.1693050458400142,0.043233371116931,0.7781241493372445,0.760352422907489
clip,73,0,7850,0.2080487432115673,0.21694748129840777,0.05055101596136478,1.1530351067127826,0.6351592356687898
clip,77,7,12750,0.181003482777729,0.2143047964170077,0.0615736195921687,0.8975826618910907,0.7170196078431372
clip,80,4,9350,0.21663018853659147,0.23321877700959157,0.06269890115817488,1.140217912807091,0.6216042780748663
clip,97,8,9050,0.13930704765188814,0.1774205451124736,0.04230795762841998,0.7213015877926974,0.7607734806629834
clip,99,6,8350,0.13636508793288005,0.18228597366795285,0.048102175923504,0.6659425599891361,0.7645508982035928
clip,105,5,8850,0.1445388864969266,0.1947261667728702,0.047253715249240776,0.7282499139830413,0.7493785310734463
clip,108,1,11050,0.1892290833046951,0.2055021638657337,0.051078012356933586,1.018135508991264,0.6782805429864254
clip,112,2,11350,0.22288106937947938,0.23565189367012795,0.06933020079346827,1.1441862808955463,0.6588546255506608
clip,154,7,9950,0.13737929852039926,0.17106201538539806,0.04366836724002113,0.6996448862026683,0.7683417085427136
clip,165,9,10050,0.163118168119673,0.18676446011738737,0.04912320886160858,0.8470879236680596,0.7400995024875622
clip,166,3,7950,0.21364640418564634,0.22490363645200284,0.06496829365129132,1.1057150673917764,0.6415094339622641
clip,180,6,8950,0.1523069339881301,0.19061819323800328,0.04769806290082528,0.7799601605119592,0.7540782122905028
clip,186,5,9150,0.1450390166757408,0.18404837878463753,0.044688552875015254,0.747141799480094,0.747103825136612
clip,188,1,10750,0.16742109895807952,0.18964570923024351,0.04302168312348675,0.9138175939656361,0.6914418604651162
clip,204,4,12650,0.1795104503366329,0.20893574836093132,0.05841376970404057,0.906090534132187,0.7079841897233201
clip,208,2,8350,0.17025874494066884,0.20133168766477805,0.05492665730333153,0.8622512707646925,0.7408383233532934
clip,239,0,7650,0.16992754916776587,0.2120004819828726,0.06570648063471998,0.7952539603660413,0.7482352941176471
clip,261,9,11850,0.16202046170270368,0.17836231233814542,0.04701165037938221,0.8520733296426325,0.7347679324894515
clip,263,8,8350,0.17321827161704595,0.21506812799304295,0.056856785306977096,0.871387189477459,0.717125748502994
clip,264,6,16650,0.25452677934003526,0.25234252979220545,0.0716006237368328,1.3520837129592496,0.5917717717717718
clip,272,2,7050,0.17186846020285323,0.1904230345730418,0.04103436980028579,0.9568730026182578,0.7058156028368794
clip,275,1,10050,0.19302685472724734,0.21026256325773915,0.05858672141855794,0.999667654579384,0.6764179104477612
clip,278,5,8150,0.12210205005113928,0.1665637513099446,0.03876311858186521,0.6221356388667837,0.7737423312883436
clip,281,7,10350,0.10580788119304352,0.15292089415000307,0.046287580343687774,0.4629296862891779,0.847536231884058
clip,282,3,8650,0.16714778501032454,0.1915065692258627,0.04363985045152589,0.9081953923631164,0.7098265895953757
clip,315,0,7050,0.13562152978468137,0.17954828283274424,0.05151534718182259,0.6402586254018342,0.780709219858156
clip,336,4,13950,0.22941055464636848,0.2375112689111478,0.06499030245706434,1.2159320677821932,0.62
clip,349,1,9250,0.18958451630966094,0.20526287524987005,0.06159985821519041,0.9574924648764843,0.684972972972973
clip,361,9,9950,0.17764521581464723,0.19707645562304835,0.05026396541773902,0.9419327181960965,0.7184924623115578
clip,363,6,7350,0.14497790425774956,0.1875463243997502,0.04569847941536412,0.7406544533120623,0.7466666666666667
